dataset,delta_par_mean,delta_par_ci_low,delta_par_ci_high,delta_naive_mean,p_raw,robustness_r,n_seeds,t_stat,hard_dataset,p_bh,A_adv
CIFAR-10 grayscale PCA,0.008213280728160749,0.0038931319165689034,0.012533429539752594,0.01948683272506154,0.006176596801284714,0.7013320398182137,5,5.278457773058699,True,0.007720746001605893,False
EMNIST Balanced,0.012047349770974488,0.00751070920510515,0.016583990336843827,0.02264159041038312,0.0018034266103806832,0.6714989686100136,5,7.3730340362149045,True,0.003532251830150757,False
Fashion-MNIST,0.012210439773222309,0.007519639342606588,0.01690124020383803,0.02309217824522809,0.0019443071477802532,0.641491692808214,5,7.227256039162928,True,0.003532251830150757,False
Kuzushiji-MNIST,0.016137413957418294,0.009794125697048019,0.02248070221778857,0.025204845667680904,0.002119351098090454,0.6753031517421835,5,7.063315137756204,True,0.003532251830150757,True
MNIST,0.007472188746343113,0.0027672574545154977,0.012177120038170727,0.01780822794356737,0.011605647634310831,0.5940010782697326,5,4.409442047737027,False,0.011605647634310831,False
