dataset,ms_operator,ms_dynamics,ms_interaction,ms_error,sigma_op2_hat,sigma_dyn2_hat,R_op_hat,n_op,n_dyn,n_r,bootstrap_CI_R_op_low,bootstrap_CI_R_op_high,delta_shrink_mean,delta_shrink_ci_low,delta_shrink_ci_high,budget_parity_ratio_mean
CIFAR-10 grayscale PCA,0.001277033254024909,0.0005156826672727189,1.2572050405217348e-05,6.712106864047366e-05,0.00012644612036196917,3.3540707791166775e-05,0.7903533173427106,3.0,2.0,5.0,0.5701636155956183,1.0,0.01009201244900913,0.009208922055681978,0.010975102842336281,0.9973958333333334
EMNIST Balanced,0.0016090019592124544,4.875246979312024e-05,8.935911492545324e-06,4.7104952049055716e-05,0.0001600066047719909,2.654437220038328e-06,0.9836811741303834,3.0,2.0,5.0,0.8976305644916838,1.0,0.010086580595013267,0.009435974582969225,0.01073718660705731,0.9963541666666667
Kuzushiji-MNIST,0.0016696054090092382,0.0003380273802377481,1.894077098669485e-05,2.8077889223395068e-05,0.00016506646380225431,2.1272440616736882e-05,0.8858400467521003,3.0,2.0,5.0,0.7739595897059346,0.9747471320048293,0.010347055143571825,0.009557414712736904,0.011136695574406746,1.0010416666666666
